StreetBlockID,TotalSpaces,AvailableSpaces
1,23,2
2,21,8
3,22,6
4,23,22
5,19,12
6,22,14
7,15,6
8,23,6
9,16,13
10,19,17
11,23,22
12,23,22
13,15,8
14,22,18
15,16,9
16,20,10
17,16,9
18,17,7
19,16,15
20,18,8
21,15,6
22,17,12
23,23,8
24,23,5
25,21,12
26,16,8
27,16,15
28,24,12
29,23,12
30,16,11
31,20,16
32,18,12
33,23,9
34,22,17
35,23,20
36,22,19
37,22,9
38,17,5
39,17,7
40,22,6
41,24,22
42,15,12
43,21,9
44,15,5
45,21,12
46,18,16
47,24,18
48,19,6
49,20,14
50,20,9
51,19,11
52,16,6
53,17,9
54,22,19
55,23,16
56,17,16
57,24,17
58,18,14
59,15,7
60,17,5
61,17,16
62,17,7
63,24,11
64,15,7
65,22,5
66,18,8
67,20,6
68,24,13
69,21,14
70,16,8
71,23,6
72,23,7
73,16,15
74,21,18
75,22,16
76,16,11
77,22,16
78,19,13
79,21,20
80,22,10
81,22,5
82,19,14
83,24,15
84,17,12
85,15,12
86,24,22
87,24,23
88,22,9
89,20,14
90,21,7
91,16,10
92,15,8
93,24,20
94,19,18
95,20,19
96,19,15
97,16,11
98,23,22
99,19,14
100,21,12
101,23,19
102,22,17
103,18,6
104,17,14
105,23,9
106,19,10
107,20,14
108,21,14
109,20,10
110,18,16
111,20,11
112,16,5
113,23,6
114,21,7
115,23,20
116,16,14
117,21,6
118,15,9
119,16,13
120,24,12
121,20,10
122,22,19
123,22,15
124,23,22
125,17,15
126,15,11
127,18,10
128,21,7
129,22,20
130,24,20
131,17,5
132,21,5
133,23,10
134,21,7
135,18,15
136,20,9
137,23,10
138,17,7
139,17,12
140,18,5
141,17,10
142,16,8
143,18,15
144,19,9
145,19,5
146,20,6
147,24,18
148,23,20
149,22,15
150,15,6
151,18,6
152,23,12
153,19,15
154,19,15
155,24,18
156,19,13
157,24,18
158,20,12
159,24,17
160,24,21
161,16,6
162,22,7
163,23,12
164,21,13
165,15,11
166,23,5
167,18,8
168,21,20
169,15,6
170,23,16
171,21,11
172,16,5
173,16,6
174,21,16
175,17,6
176,19,8
177,16,12
178,24,12
179,23,8
180,22,20
181,18,10
182,19,6
183,21,12
184,23,5
185,24,20
186,15,13
187,18,8
188,17,13
189,22,5
190,16,12
191,16,8
192,23,14
193,18,13
194,17,11
195,17,15
196,20,8
197,22,16
198,18,7
199,20,19
200,19,18
201,22,14
202,15,14
203,18,7
204,24,23
205,22,10
206,17,11
207,24,22
208,20,7
209,22,19
210,24,17
211,16,10
212,19,17
213,20,10
214,16,15
215,23,22
216,23,6
217,18,12
218,23,9
219,15,8
220,21,7
221,20,13
222,22,7
223,17,11
224,22,16
225,24,11
226,23,10
227,16,10
228,24,23
229,24,17
230,19,14
231,19,5
232,15,14
233,20,15
234,19,8
235,21,19
236,15,13
237,18,11
238,20,5
239,17,12
240,15,13
241,22,9
242,23,9
243,18,15
244,20,9
245,24,15
246,16,6
247,19,11
248,16,7
249,20,11
250,20,10
251,18,13
252,22,15
253,22,16
254,17,6
255,23,13
256,24,10
257,21,15
258,20,8
259,18,15
260,18,14
261,16,11
262,17,10
263,23,17
264,21,16
265,16,14
266,20,17
267,16,5
268,15,13
269,16,9
270,22,12
271,18,12
272,22,17
273,21,20
274,17,14
275,23,16
276,22,9
277,23,7
278,15,12
279,22,18
280,24,18
281,16,7
282,19,17
283,16,11
284,18,14
285,17,15
286,20,5
287,20,5
288,20,11
289,23,22
290,19,5
291,18,11
292,15,8
293,20,8
294,23,15
295,16,5
296,16,5
297,16,9
298,19,5
299,22,7
300,16,10
301,16,10
302,16,5
303,19,17
304,22,18
305,20,7
306,21,16
307,21,5
308,21,6
309,24,17
310,15,5
311,20,17
312,23,16
313,16,12
314,17,7
315,16,13
316,20,9
317,22,16
318,19,13
319,24,13
320,17,5
321,23,10
322,16,9
323,15,12
324,23,7
325,21,8
326,17,10
327,21,8
328,18,16
329,16,14
330,16,5
